"","x"
"GO:0001942","GO:0017018"
"GO:0001944","GO:0017124"
"GO:0001945","GO:0019003"
"GO:0001946","GO:0019899"
"GO:0001947","GO:0019900"
"GO:0001951","GO:0019903"
"GO:0001952","GO:0019904"
"GO:0001953","GO:0019905"
"GO:0001954","GO:0022857"
"GO:0001955","GO:0030145"
"GO:0001957","GO:0030165"
"GO:0001958","GO:0030246"
"GO:0001959","GO:0030374"
"GO:0001960","GO:0030527"
"GO:0001961","GO:0031267"
"GO:0001963","GO:0031490"
"GO:0001964","GO:0031625"
"GO:0001966","GO:0035064"
"GO:0001967","GO:0035091"
"GO:0001970","GO:0038023"
"GO:0001971","GO:0042393"
"GO:0001973","GO:0042803"
"GO:0001974","GO:0042826"
"GO:0001975","GO:0043022"
"GO:0001976","GO:0043130"
"GO:0001992","GO:0043621"
"GO:0002003","GO:0046983"
"GO:0002009","GO:0047485"
"GO:0002011","GO:0051117"
"GO:0002021","GO:0061629"
"GO:0002023","GO:0061630"
"GO:0002024","GO:0097110"
"GO:0002025","GO:0106310"
"GO:0002026","GO:1990841"
